observation,sender,sender_type,sender_id,x,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,gender,age,grad,drug,cof,cig,alc,bfi10_e1,bfi10_v2,bfi10_g1,bfi10_n1,bfi10_o1,bfi10_e2,bfi10_v1,bfi10_g2,bfi10_n2,bfi10_o2,story,option_a,option_b,story_number,risk_a,risk_b,fame_known,risk_oa,meme
07f51,welcome,html.Page,0_0,NA,form submission,98131.631999978,5808.7150000501,5807.196,5974.453,104106.08499998,104110.74500007,2020-06-11T14:56:55Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,dem,html.Page,0_1,NA,form submission,45208.416000068,104111.81999999,104089.193,104189.159,149397.57500007,149400.04500002,2020-06-11T14:57:41Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,BFI-10,html.Page,0_2,NA,form submission,44620.409000054,149400.64500005,149391.082,149541.031,194161.44000005,194163.65500004,2020-06-11T14:58:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Dem,flow.Sequence,0,NA,completion,188186.98700005,5808.5950000677,5807.196,5974.453,194161.44000005,194168.21999999,2020-06-11T14:58:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,SitIntro,html.Page,1_0,NA,form submission,86070.371000041,194168.81000006,194141.045,194207.689,280278.06000004,280282.11000003,2020-06-11T14:59:52Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Loop1,flow.Loop,1_1,NA,completion,405020.67500002,280282.73500002,280261.394,280361.36,685382.03500002,685385.11999999,2020-06-11T15:06:37Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Progress,html.Page,1_2,NA,form submission,6064.6970000542,685385.43500006,685368.819,685435.463,691500.16000005,691502.10499996,2020-06-11T15:06:43Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Loop2,flow.Loop,1_3,NA,completion,371058.20000002,691502.54999998,691491.574,691591.54,1062649.74,1062652.73,2020-06-11T15:12:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Progress,html.Page,1_4,NA,form submission,265796.35699997,1062653.01,1062639.266,1062672.588,1328468.945,1328471.335,2020-06-11T15:17:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Loop3,flow.Loop,1_5,NA,completion,827931.06200001,1328471.715,1328461.787,1328561.753,2156492.815,2156496.265,2020-06-11T15:31:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
07f51,Risk_assessment,flow.Sequence,1,NA,completion,1962285.126,194168.65500004,194141.045,194207.689,2156492.815,2156496.65,2020-06-11T15:31:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
106a1,welcome,html.Page,0_0,NA,form submission,11952.43599999,2667.999999976,2677.986,2744.664,14697.09999999,14699.599999993,2020-06-03T15:51:54Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
106a1,dem,html.Page,0_1,NA,form submission,32101.525999997,14701.299999986,14662.005,14728.674,46830.199999997,46831.299999991,2020-06-03T15:52:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
106a1,BFI-10,html.Page,0_2,NA,form submission,35274.387999976,46832.199999975,46814.806,46864.812,82139.199999976,82140.399999975,2020-06-03T15:53:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
106a1,Dem,flow.Sequence,0,NA,completion,79394.535999976,2667.7999999956,2677.986,2744.664,82139.199999976,82148.599999986,2020-06-03T15:53:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,NA
